#gf_id	species	genes	lja	mtr	gma	mdo	fve	mes	rco	ptr	ath	aly	cpa	tca	vvi	osa	osaindica	bdi	sbi	zma	smo	ppa	olu	ota	mrcc299	vca	cre
HOM000024	18	1707	8	49	70	87	45	45	53	52	20	25	10	52	58	297	378	185	207	66	0	0	0	0	0	0	0
HOM000081	18	828	12	84	54	99	60	45	31	133	25	20	6	54	12	52	78	30	23	10	0	0	0	0	0	0	0
HOM000127	18	544	4	12	14	33	20	1	7	80	5	4	2	128	2	12	100	22	85	13	0	0	0	0	0	0	0
HOM000167	18	427	2	3	8	7	7	6	7	49	7	11	14	22	21	74	89	34	42	24	0	0	0	0	0	0	0
HOM000205	18	363	16	21	36	18	10	18	14	15	23	15	8	22	6	32	34	22	24	29	0	0	0	0	0	0	0
HOM000260	18	313	15	35	29	32	13	11	8	26	13	14	7	15	6	23	23	16	17	10	0	0	0	0	0	0	0
HOM000284	18	290	29	30	19	28	21	8	9	14	19	24	7	14	13	12	13	12	11	7	0	0	0	0	0	0	0
HOM000376	18	243	1	2	2	1	5	1	1	1	80	140	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM000405	18	231	9	8	27	20	11	19	10	15	12	13	8	9	8	13	12	7	12	18	0	0	0	0	0	0	0
HOM000419	18	223	12	18	44	6	4	19	15	28	6	6	4	4	8	11	8	10	10	10	0	0	0	0	0	0	0
HOM000479	18	204	7	4	18	47	21	17	13	8	9	4	11	12	7	5	6	4	6	5	0	0	0	0	0	0	0
HOM000529	18	187	7	9	22	15	7	11	6	14	9	11	8	7	16	10	8	9	8	10	0	0	0	0	0	0	0
HOM000531	18	187	9	7	13	32	5	8	6	12	11	13	7	8	8	8	8	11	9	12	0	0	0	0	0	0	0
HOM000620	18	164	2	12	4	19	8	6	3	10	4	5	5	5	7	15	15	13	16	15	0	0	0	0	0	0	0
HOM000700	18	153	8	13	25	12	4	2	4	19	6	6	7	5	10	7	7	7	5	6	0	0	0	0	0	0	0
HOM000725	18	148	7	5	20	13	5	8	5	6	8	8	4	5	4	11	11	8	8	12	0	0	0	0	0	0	0
HOM000779	18	138	3	3	9	9	1	11	4	4	16	12	6	3	2	13	10	10	13	9	0	0	0	0	0	0	0
HOM000917	18	122	5	5	10	23	4	7	3	8	8	11	5	4	2	6	8	4	4	5	0	0	0	0	0	0	0
HOM000939	18	119	7	5	15	12	6	7	6	11	6	6	5	5	3	6	6	4	4	5	0	0	0	0	0	0	0
HOM001000	18	113	3	6	9	11	4	6	3	7	18	15	3	5	1	4	4	3	6	5	0	0	0	0	0	0	0
HOM001037	18	108	4	4	9	9	7	8	3	9	6	8	3	10	4	5	6	4	3	6	0	0	0	0	0	0	0
HOM001069	18	105	1	4	9	6	11	4	2	12	13	8	5	6	2	5	5	2	7	3	0	0	0	0	0	0	0
HOM001076	18	105	7	12	13	9	3	8	4	6	3	4	3	4	2	5	6	6	5	5	0	0	0	0	0	0	0
HOM001096	18	103	5	2	7	16	7	7	4	6	6	7	3	3	3	6	6	4	5	6	0	0	0	0	0	0	0
HOM001100	18	103	3	2	8	6	5	10	6	7	6	6	2	5	4	7	8	6	6	6	0	0	0	0	0	0	0
HOM001129	18	100	8	11	6	9	8	6	6	5	6	6	8	9	2	2	2	1	2	3	0	0	0	0	0	0	0
HOM001200	18	95	4	8	12	8	8	5	3	5	3	4	3	3	4	5	5	5	5	5	0	0	0	0	0	0	0
HOM001204	18	95	5	1	11	10	5	6	5	10	5	2	5	4	4	5	3	3	4	7	0	0	0	0	0	0	0
HOM001206	18	95	3	8	10	8	6	5	3	5	5	6	4	5	4	4	4	7	2	6	0	0	0	0	0	0	0
HOM001253	18	92	6	2	32	8	1	3	2	3	2	2	20	2	1	2	2	1	1	2	0	0	0	0	0	0	0
HOM001372	18	86	2	3	12	3	3	6	5	9	3	3	5	9	4	3	5	4	4	3	0	0	0	0	0	0	0
HOM001376	18	85	6	11	11	7	4	6	4	4	4	3	4	3	3	2	2	4	2	5	0	0	0	0	0	0	0
HOM001388	18	85	4	8	6	9	6	7	4	7	5	3	6	2	5	4	2	2	2	3	0	0	0	0	0	0	0
HOM001415	18	83	5	4	10	7	3	7	4	10	3	3	4	4	2	3	3	3	3	5	0	0	0	0	0	0	0
HOM001425	18	82	1	4	9	7	3	8	4	6	3	3	3	4	3	4	5	5	4	6	0	0	0	0	0	0	0
HOM001446	18	81	1	4	8	9	3	5	3	3	2	3	2	3	4	6	6	6	6	7	0	0	0	0	0	0	0
HOM001457	18	81	6	1	9	6	2	6	2	4	6	6	2	2	2	4	5	4	9	5	0	0	0	0	0	0	0
HOM001465	18	80	6	3	10	10	6	3	5	3	5	6	3	4	1	3	3	2	3	4	0	0	0	0	0	0	0
HOM001487	18	79	3	2	10	6	4	4	4	5	4	5	4	4	3	3	3	5	6	4	0	0	0	0	0	0	0
HOM001492	18	79	4	1	9	10	3	7	4	9	5	6	3	4	3	2	2	3	2	2	0	0	0	0	0	0	0
HOM001495	18	79	2	1	7	11	3	5	5	5	5	4	3	5	5	5	3	4	3	3	0	0	0	0	0	0	0
HOM001550	18	76	1	8	8	4	2	5	6	9	3	2	3	5	3	3	3	3	3	5	0	0	0	0	0	0	0
HOM001601	18	74	5	4	4	6	2	3	4	6	10	7	1	3	2	5	4	5	2	1	0	0	0	0	0	0	0
HOM001609	18	73	2	3	6	7	4	4	4	7	4	7	5	3	3	3	3	3	3	2	0	0	0	0	0	0	0
HOM001637	18	72	1	6	11	5	1	4	3	7	1	1	1	6	4	5	4	3	5	4	0	0	0	0	0	0	0
HOM001639	18	72	2	4	6	7	5	4	3	2	3	3	4	2	15	2	2	2	4	2	0	0	0	0	0	0	0
HOM001651	18	72	2	2	8	6	2	4	1	4	3	3	2	2	2	5	6	6	6	8	0	0	0	0	0	0	0
HOM001664	18	71	1	5	9	4	2	4	2	2	4	4	2	2	3	5	5	4	5	8	0	0	0	0	0	0	0
HOM001686	18	71	1	3	8	9	3	6	3	7	4	3	3	2	4	3	3	2	2	5	0	0	0	0	0	0	0
HOM001791	18	68	2	2	4	13	1	4	4	2	4	7	2	4	2	4	4	2	3	4	0	0	0	0	0	0	0
HOM001821	18	67	1	2	9	4	5	7	4	4	4	4	3	4	4	2	2	2	2	4	0	0	0	0	0	0	0
HOM001823	18	67	6	4	10	4	2	4	3	4	2	2	3	3	1	5	4	2	4	4	0	0	0	0	0	0	0
HOM001834	18	67	2	2	11	13	3	5	2	4	1	2	2	3	4	1	1	2	7	2	0	0	0	0	0	0	0
HOM001843	18	66	3	10	7	7	4	3	3	5	2	2	3	3	3	2	2	2	2	3	0	0	0	0	0	0	0
HOM001871	18	66	1	2	12	5	3	4	2	4	2	2	2	3	4	5	7	2	4	2	0	0	0	0	0	0	0
HOM001916	18	65	1	4	8	4	2	7	2	6	3	3	1	3	1	3	3	3	5	6	0	0	0	0	0	0	0
HOM001922	18	64	2	3	10	4	2	4	2	3	2	2	2	2	2	3	3	3	3	12	0	0	0	0	0	0	0
HOM001925	18	64	3	3	5	6	3	3	3	5	5	2	4	3	2	3	4	3	3	4	0	0	0	0	0	0	0
HOM001962	18	63	4	8	4	20	1	2	2	2	3	3	2	4	1	1	2	1	1	2	0	0	0	0	0	0	0
HOM001966	18	63	5	3	5	2	6	4	5	6	4	4	3	3	3	2	1	2	2	3	0	0	0	0	0	0	0
HOM001974	18	63	2	1	8	5	1	4	1	4	4	4	2	2	3	4	4	4	4	6	0	0	0	0	0	0	0
HOM002002	18	62	5	2	6	4	2	3	2	4	3	1	4	3	3	3	4	4	3	6	0	0	0	0	0	0	0
HOM002022	18	61	2	4	7	8	1	4	2	4	2	2	2	2	2	3	3	3	4	6	0	0	0	0	0	0	0
HOM002044	18	61	2	6	9	10	2	4	2	3	1	1	3	2	1	4	3	3	2	3	0	0	0	0	0	0	0
HOM002065	18	60	3	2	6	9	4	3	3	6	2	2	2	3	2	2	2	3	2	4	0	0	0	0	0	0	0
HOM002074	18	60	2	2	8	6	2	4	2	3	2	2	3	2	4	6	6	2	2	2	0	0	0	0	0	0	0
HOM002089	18	60	3	1	10	1	2	4	2	4	5	4	2	2	2	3	4	4	3	4	0	0	0	0	0	0	0
HOM002101	18	60	2	2	5	2	2	3	2	3	2	2	2	2	1	5	5	6	5	9	0	0	0	0	0	0	0
HOM002103	18	60	1	3	6	7	5	5	3	3	6	7	3	4	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM002122	18	59	1	3	9	5	2	3	2	2	4	7	2	2	2	3	4	2	3	3	0	0	0	0	0	0	0
HOM002135	18	59	4	2	10	5	2	4	1	5	4	4	3	3	3	1	2	2	2	2	0	0	0	0	0	0	0
HOM002137	18	59	2	2	4	4	2	4	4	6	4	3	2	4	2	3	3	3	4	3	0	0	0	0	0	0	0
HOM002142	18	59	2	16	7	6	2	4	1	4	2	2	1	2	3	1	1	1	2	2	0	0	0	0	0	0	0
HOM002213	18	57	4	6	8	9	1	4	2	3	3	4	2	2	1	1	2	2	1	2	0	0	0	0	0	0	0
HOM002253	18	56	6	2	7	6	1	4	2	2	3	2	2	2	2	1	3	3	3	5	0	0	0	0	0	0	0
HOM002270	18	56	2	1	4	7	1	2	2	2	1	3	1	1	1	6	7	3	5	7	0	0	0	0	0	0	0
HOM002301	18	55	2	2	6	15	2	4	2	3	2	2	2	2	1	2	2	2	2	2	0	0	0	0	0	0	0
HOM002328	18	55	4	3	8	2	2	3	2	4	2	2	3	1	2	4	3	4	3	3	0	0	0	0	0	0	0
HOM002342	18	54	2	5	3	4	3	5	3	6	5	5	3	2	3	1	1	1	1	1	0	0	0	0	0	0	0
HOM002359	18	54	1	2	6	5	3	4	3	4	3	3	2	3	3	2	3	1	2	4	0	0	0	0	0	0	0
HOM002375	18	54	2	3	8	3	2	4	2	3	3	3	2	2	2	3	2	2	3	5	0	0	0	0	0	0	0
HOM002377	18	54	2	3	9	7	2	2	1	5	4	4	2	3	1	2	2	1	1	3	0	0	0	0	0	0	0
HOM002386	18	54	4	1	5	6	2	5	2	2	3	3	2	2	1	3	3	2	3	5	0	0	0	0	0	0	0
HOM002408	18	53	4	3	7	5	2	2	3	4	3	3	2	2	2	4	3	1	2	1	0	0	0	0	0	0	0
HOM002429	18	53	1	4	9	4	1	3	2	4	2	2	1	2	2	3	4	3	3	3	0	0	0	0	0	0	0
HOM002437	18	52	3	3	4	6	2	1	1	2	1	1	1	1	2	7	4	5	4	4	0	0	0	0	0	0	0
HOM002469	18	52	2	2	4	5	2	3	2	3	4	3	2	2	1	3	3	3	3	5	0	0	0	0	0	0	0
HOM002483	18	52	4	4	3	4	1	2	1	2	4	5	1	1	1	4	5	2	3	5	0	0	0	0	0	0	0
HOM002508	18	51	1	1	5	4	2	4	2	5	5	5	1	2	1	3	3	2	2	3	0	0	0	0	0	0	0
HOM002543	18	50	5	2	1	8	3	2	4	3	1	4	3	2	1	1	1	1	4	4	0	0	0	0	0	0	0
HOM002559	18	50	2	2	5	3	2	4	2	4	2	2	2	2	1	3	3	3	3	5	0	0	0	0	0	0	0
HOM002605	18	49	3	7	7	2	1	2	1	4	3	3	1	2	2	2	2	2	1	4	0	0	0	0	0	0	0
HOM002616	18	49	2	1	4	6	2	2	2	3	1	1	3	3	3	3	3	2	4	4	0	0	0	0	0	0	0
HOM002638	18	48	1	3	6	5	1	2	2	3	3	3	1	2	2	2	2	2	3	5	0	0	0	0	0	0	0
HOM002662	18	48	3	9	6	1	8	1	1	2	2	5	2	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM002719	18	47	1	2	4	10	2	3	2	3	4	5	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM002833	18	45	2	3	5	6	2	2	2	2	3	4	1	2	2	1	3	1	2	2	0	0	0	0	0	0	0
HOM002834	18	45	6	2	4	3	2	3	2	2	2	2	2	3	3	3	2	1	1	2	0	0	0	0	0	0	0
HOM002874	18	45	2	1	5	7	2	3	2	3	3	5	2	2	1	1	1	2	2	1	0	0	0	0	0	0	0
HOM002882	18	45	3	2	5	2	2	2	2	2	3	3	3	2	1	3	3	2	3	2	0	0	0	0	0	0	0
HOM002945	18	44	5	2	6	6	1	4	2	4	1	1	2	2	2	1	1	2	1	1	0	0	0	0	0	0	0
HOM003006	18	43	1	3	3	3	1	4	3	3	2	2	2	4	2	2	2	2	2	2	0	0	0	0	0	0	0
HOM003022	18	43	2	1	4	5	1	3	2	3	1	1	2	2	2	3	3	3	3	2	0	0	0	0	0	0	0
HOM003054	18	42	1	1	4	6	2	3	1	4	1	1	4	2	3	1	2	1	3	2	0	0	0	0	0	0	0
HOM003072	18	42	1	1	4	4	2	4	1	3	3	3	2	1	1	2	2	2	2	4	0	0	0	0	0	0	0
HOM003073	18	42	2	1	5	2	2	3	3	5	3	3	2	1	5	1	1	1	1	1	0	0	0	0	0	0	0
HOM003081	18	42	3	3	4	3	1	5	2	4	2	2	3	2	2	1	1	1	1	2	0	0	0	0	0	0	0
HOM003083	18	42	3	3	6	3	2	4	2	3	2	1	3	2	2	1	1	2	1	1	0	0	0	0	0	0	0
HOM003142	18	41	2	2	4	3	2	2	2	2	2	2	2	2	2	2	5	2	1	2	0	0	0	0	0	0	0
HOM003192	18	41	3	2	4	3	1	1	1	1	1	1	1	2	1	3	4	3	4	5	0	0	0	0	0	0	0
HOM003247	18	40	3	1	2	1	2	3	2	5	2	2	3	2	1	2	2	2	3	2	0	0	0	0	0	0	0
HOM003273	18	40	1	1	4	2	1	2	1	2	2	2	2	1	2	3	3	3	3	5	0	0	0	0	0	0	0
HOM003279	18	40	2	2	3	5	1	3	4	5	1	1	2	3	2	1	1	1	1	2	0	0	0	0	0	0	0
HOM003310	18	40	1	2	4	2	1	2	2	2	2	1	2	2	2	2	2	3	3	5	0	0	0	0	0	0	0
HOM003324	18	39	1	2	4	4	2	3	4	2	1	1	2	2	3	2	2	1	1	2	0	0	0	0	0	0	0
HOM003378	18	39	1	3	4	2	1	3	2	5	1	1	1	3	2	2	2	1	2	3	0	0	0	0	0	0	0
HOM003382	18	39	1	1	2	4	2	3	1	3	3	2	4	2	3	1	1	1	2	3	0	0	0	0	0	0	0
HOM003400	18	39	1	1	2	3	1	2	1	3	4	3	1	1	2	2	2	1	2	7	0	0	0	0	0	0	0
HOM003456	18	38	2	2	3	3	1	2	1	2	1	1	2	1	2	4	2	3	3	3	0	0	0	0	0	0	0
HOM003527	18	38	1	1	4	5	1	4	2	5	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM003696	18	36	1	1	7	2	1	2	1	2	2	2	4	1	3	1	1	1	1	3	0	0	0	0	0	0	0
HOM003749	18	36	2	4	4	2	2	3	2	3	2	2	1	2	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM003870	18	35	2	3	3	6	2	2	2	2	1	1	2	2	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM003890	18	35	1	1	2	3	1	2	2	4	3	3	5	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM003908	18	35	1	1	1	6	4	1	1	3	3	3	1	3	1	1	1	2	1	1	0	0	0	0	0	0	0
HOM003918	18	35	1	1	5	3	1	3	1	3	3	2	2	3	1	1	1	1	2	1	0	0	0	0	0	0	0
HOM003923	18	35	3	1	3	3	1	4	2	4	2	2	1	1	2	1	1	1	1	2	0	0	0	0	0	0	0
HOM004123	18	33	3	1	4	4	1	1	1	2	1	1	1	1	1	2	3	3	2	1	0	0	0	0	0	0	0
HOM004126	18	33	2	1	3	2	2	3	2	3	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM004155	18	33	2	1	4	5	1	2	2	1	1	2	1	2	2	2	2	1	1	1	0	0	0	0	0	0	0
HOM004343	18	32	1	1	2	3	1	3	3	3	2	2	1	1	1	1	1	1	1	4	0	0	0	0	0	0	0
HOM004371	18	32	1	1	5	6	1	1	1	2	3	2	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM004398	18	32	1	1	3	3	1	2	1	2	2	2	1	1	1	2	2	2	1	4	0	0	0	0	0	0	0
HOM004439	18	32	1	1	2	3	2	3	3	4	2	1	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM004449	18	32	1	1	1	4	3	2	2	3	1	2	3	2	1	1	1	2	1	1	0	0	0	0	0	0	0
HOM004484	18	31	1	2	3	2	3	1	1	4	1	1	3	2	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM004505	18	31	1	1	4	3	1	1	1	1	2	2	1	1	1	2	2	2	2	3	0	0	0	0	0	0	0
HOM004529	18	31	1	1	4	3	1	1	1	2	2	2	1	1	1	2	2	2	2	2	0	0	0	0	0	0	0
HOM004542	18	31	3	2	8	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM004608	18	31	1	3	2	2	1	2	1	2	2	2	1	1	1	2	3	1	2	2	0	0	0	0	0	0	0
HOM004651	18	30	1	2	4	2	1	1	1	1	2	2	1	1	1	1	1	2	2	4	0	0	0	0	0	0	0
HOM004693	18	30	1	1	3	7	2	1	2	1	1	3	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM004696	18	30	1	1	2	4	1	2	1	2	1	1	2	1	1	2	2	2	2	2	0	0	0	0	0	0	0
HOM004753	18	30	1	1	2	4	1	2	1	2	1	1	1	1	1	2	2	2	2	3	0	0	0	0	0	0	0
HOM004775	18	30	2	1	2	1	2	1	1	1	1	1	1	2	2	2	3	2	1	4	0	0	0	0	0	0	0
HOM004841	18	29	1	2	2	3	1	2	1	2	2	2	1	1	1	1	1	1	1	4	0	0	0	0	0	0	0
HOM004860	18	29	2	1	3	2	1	1	1	2	1	1	1	1	1	3	3	1	2	2	0	0	0	0	0	0	0
HOM004875	18	29	4	2	2	4	1	2	1	2	1	1	1	1	1	2	1	1	1	1	0	0	0	0	0	0	0
HOM004890	18	29	3	1	4	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	0	0	0	0	0	0	0
HOM004922	18	29	1	1	4	2	1	2	1	2	1	1	1	1	1	3	2	2	2	1	0	0	0	0	0	0	0
HOM004961	18	29	1	1	1	6	1	1	1	2	2	2	1	1	1	1	1	2	2	2	0	0	0	0	0	0	0
HOM005018	18	29	1	1	2	4	1	2	2	3	1	1	1	2	2	1	1	2	1	1	0	0	0	0	0	0	0
HOM005036	18	28	3	2	4	1	1	1	1	3	1	1	2	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM005103	18	28	1	2	4	2	1	2	1	2	1	2	1	1	1	1	2	1	1	2	0	0	0	0	0	0	0
HOM005136	18	28	1	3	4	2	1	2	1	1	1	1	1	1	1	2	2	1	2	1	0	0	0	0	0	0	0
HOM005168	18	28	1	2	3	2	1	2	1	2	1	2	1	1	1	1	1	1	3	2	0	0	0	0	0	0	0
HOM005177	18	28	1	2	2	3	1	2	1	2	1	1	1	1	1	1	1	2	2	3	0	0	0	0	0	0	0
HOM005183	18	28	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005198	18	28	1	3	3	2	1	2	1	4	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM005309	18	27	1	1	2	3	1	2	1	2	1	1	1	1	1	1	3	2	2	1	0	0	0	0	0	0	0
HOM005317	18	27	2	1	3	1	1	1	2	2	1	1	2	1	2	1	2	1	2	1	0	0	0	0	0	0	0
HOM005431	18	27	2	3	3	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	0
HOM005446	18	27	2	1	4	2	1	1	1	3	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HOM005463	18	26	1	1	4	2	1	2	1	1	2	2	1	1	1	1	1	2	1	1	0	0	0	0	0	0	0
HOM005514	18	26	2	3	1	2	1	2	1	2	1	2	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0
HOM005552	18	26	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM005555	18	26	2	1	2	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	0	0	0	0	0	0	0
HOM005635	18	25	1	1	2	2	1	1	1	1	1	1	1	1	1	2	4	1	1	2	0	0	0	0	0	0	0
HOM005696	18	25	1	1	2	3	1	2	1	1	2	2	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0
HOM005700	18	25	1	1	2	3	1	1	1	1	1	1	1	1	4	1	1	1	1	2	0	0	0	0	0	0	0
