gf-id	num-genes	num-species	ath	bra	cpa	ptr	mtr	gma	cme	pbr	vvi	sly
HOMSTM000001	3906	14	208	219	318	304	313	446	62	404	279	275
HOMSTM000002	3104	14	193	200	177	259	336	340	135	307	145	169
HOMSTM000003	2475	14	145	198	92	219	267	242	119	217	167	140
HOMSTM000004	2379	14	1	4	11	2	37	2	86	7	2	68
HOMSTM000005	2253	14	108	165	58	357	285	255	80	209	173	134
HOMSTM000008	1857	14	111	200	79	174	148	281	38	179	121	124
HOMSTM000009	1698	14	65	98	67	187	199	215	68	180	123	104
HOMSTM000011	1581	14	74	117	57	117	135	187	68	99	77	108
HOMSTM000013	1442	14	83	154	60	135	124	203	75	120	70	98
HOMSTM000014	1394	14	88	169	63	139	87	163	72	145	67	69
HOMSTM000015	1368	14	91	144	50	98	109	169	63	85	29	76
HOMSTM000016	1317	14	55	68	39	125	125	111	54	157	83	97
HOMSTM000017	1316	14	71	145	52	101	107	184	63	113	58	84
HOMSTM000018	1274	14	46	76	37	123	163	126	48	91	45	108
HOMSTM000019	1252	14	85	106	43	116	128	156	72	122	62	62
HOMSTM000022	1164	14	53	96	58	83	108	136	66	91	52	91
HOMSTM000023	1145	14	52	90	43	92	111	157	19	121	100	92
HOMSTM000024	1087	14	37	78	54	173	82	143	39	96	110	46
HOMSTM000025	1085	14	49	61	59	81	126	118	50	94	85	92
HOMSTM000026	1057	14	61	123	35	79	134	238	61	97	43	79
HOMSTM000030	1006	14	67	111	45	90	111	132	56	89	48	79
HOMSTM000031	979	14	78	97	48	104	72	112	36	86	47	55
HOMSTM000032	970	14	67	88	45	98	98	132	38	60	56	67
HOMSTM000033	927	14	54	92	47	74	79	110	46	99	60	53
HOMSTM000034	918	14	59	112	32	79	83	125	54	81	30	52
HOMSTM000035	909	14	64	108	39	73	71	111	46	90	50	61
HOMSTM000036	897	14	48	75	42	65	74	128	38	77	45	77
HOMSTM000037	882	14	42	67	19	105	58	72	26	49	40	49
HOMSTM000038	878	14	51	94	38	63	61	110	34	85	68	72
HOMSTM000039	866	14	51	77	21	65	85	90	30	78	42	34
HOMSTM000040	865	14	46	85	33	51	94	146	46	59	48	47
HOMSTM000041	820	14	49	92	29	63	68	119	41	52	39	51
HOMSTM000042	818	14	12	27	19	66	111	33	13	163	39	67
HOMSTM000043	805	14	55	88	32	61	67	110	40	62	39	57
HOMSTM000044	802	14	18	13	33	59	43	96	3	34	33	63
HOMSTM000045	785	14	42	91	31	59	66	110	45	64	22	58
HOMSTM000046	777	14	44	93	32	67	48	107	35	75	44	47
HOMSTM000047	755	14	27	42	36	82	60	102	30	76	35	44
HOMSTM000049	735	14	53	57	24	60	68	88	31	45	58	59
HOMSTM000050	732	14	40	71	43	72	61	111	33	63	37	50
HOMSTM000051	730	14	39	58	47	66	61	102	48	65	36	44
HOMSTM000052	728	14	47	86	32	57	47	90	32	61	34	56
HOMSTM000053	721	14	53	76	41	67	62	73	55	55	51	43
HOMSTM000054	669	14	29	45	16	37	56	73	24	54	22	36
HOMSTM000055	669	14	28	42	27	71	51	71	24	47	54	57
HOMSTM000057	666	14	38	58	40	54	47	85	32	46	36	67
HOMSTM000058	657	14	37	79	28	55	34	73	25	64	37	51
HOMSTM000059	653	14	33	57	35	47	43	86	27	57	32	33
HOMSTM000060	648	14	35	67	28	60	41	87	35	56	36	44
HOMSTM000061	646	14	43	72	34	54	39	90	36	50	33	43
HOMSTM000062	645	14	30	59	35	47	55	100	20	54	24	34
HOMSTM000063	644	14	41	61	25	52	45	91	38	60	32	36
HOMSTM000064	643	14	31	42	44	85	49	69	35	51	58	31
HOMSTM000065	640	14	43	83	7	93	90	67	11	51	34	80
HOMSTM000066	640	14	1	6	3	25	159	160	16	112	43	15
HOMSTM000067	635	14	12	22	13	97	144	86	12	63	19	23
HOMSTM000068	613	14	33	36	31	77	62	67	22	36	41	30
HOMSTM000069	608	14	47	79	27	47	58	67	23	61	41	24
HOMSTM000070	603	14	24	35	24	57	40	55	11	61	67	33
HOMSTM000072	596	14	19	35	19	56	41	56	25	83	51	38
HOMSTM000073	588	14	42	63	27	48	36	76	27	55	32	42
HOMSTM000074	577	14	34	57	33	47	50	74	32	59	37	41
HOMSTM000075	572	14	36	59	26	52	34	67	25	48	37	42
HOMSTM000076	572	14	33	52	23	43	44	81	32	55	36	38
HOMSTM000078	570	14	19	37	21	49	70	69	16	32	26	22
HOMSTM000079	570	14	18	36	26	57	44	59	20	46	33	36
HOMSTM000081	561	14	36	76	21	45	39	80	35	47	22	34
HOMSTM000082	559	14	34	50	31	49	40	75	27	48	25	33
HOMSTM000083	554	14	31	33	25	52	41	23	31	47	97	44
HOMSTM000084	553	14	26	37	27	46	41	67	34	39	69	37
HOMSTM000085	553	14	22	33	24	69	33	70	21	61	63	38
HOMSTM000086	552	14	32	48	38	45	40	74	30	55	27	36
HOMSTM000087	552	14	28	49	28	39	48	88	28	39	23	39
HOMSTM000089	547	14	19	14	28	81	62	70	30	78	102	19
HOMSTM000090	547	14	12	4	7	49	28	117	3	7	9	67
HOMSTM000092	540	14	29	43	28	51	40	74	13	48	38	44
HOMSTM000093	539	14	7	10	14	66	38	45	20	74	32	37
HOMSTM000094	537	14	29	41	21	55	60	59	34	46	32	34
HOMSTM000095	534	14	34	57	19	41	74	48	21	41	27	27
HOMSTM000096	533	14	31	43	33	48	34	77	28	41	42	34
HOMSTM000097	517	14	30	55	31	48	39	60	32	51	17	31
HOMSTM000098	514	14	32	46	23	41	38	75	25	51	25	33
HOMSTM000099	510	14	19	45	24	46	42	48	28	59	21	29
HOMSTM000100	501	14	17	36	10	41	66	57	24	33	43	25
HOMSTM000101	498	14	19	35	14	33	108	49	12	54	25	25
HOMSTM000102	495	14	24	21	5	133	41	39	18	74	9	14
HOMSTM000103	487	14	21	35	18	49	47	55	28	38	24	34
HOMSTM000104	480	14	16	25	20	35	43	58	19	46	58	37
HOMSTM000105	475	14	29	51	23	39	33	67	18	51	24	32
HOMSTM000106	472	14	37	53	24	42	27	63	25	29	25	48
HOMSTM000107	466	14	24	35	20	41	50	68	21	35	27	27
HOMSTM000108	463	14	29	46	31	34	31	69	30	51	24	26
HOMSTM000109	463	14	27	54	20	39	32	63	25	38	19	35
HOMSTM000110	451	14	21	35	20	38	73	53	6	49	29	58
HOMSTM000111	440	14	25	44	19	29	33	54	24	35	21	27
HOMSTM000112	435	14	27	38	23	77	36	56	22	42	19	36
HOMSTM000113	433	14	28	51	21	33	27	62	28	30	23	23
HOMSTM000114	425	14	20	28	12	80	26	43	31	45	33	14
HOMSTM000115	423	14	26	43	20	32	32	42	19	38	21	27
HOMSTM000116	420	14	24	56	19	31	33	54	25	37	21	27
HOMSTM000117	416	14	14	18	169	22	51	39	6	14	9	38
HOMSTM000118	415	14	31	54	20	39	35	52	6	27	20	31
HOMSTM000119	413	14	28	45	29	34	56	46	21	34	19	18
HOMSTM000120	412	14	17	35	13	35	46	67	18	46	26	36
HOMSTM000122	406	14	21	33	15	38	31	36	16	46	21	24
HOMSTM000123	402	14	25	40	17	39	28	51	23	33	26	28
HOMSTM000124	398	14	24	37	18	39	36	60	23	27	22	24
HOMSTM000126	392	14	25	53	13	33	32	50	22	25	11	40
HOMSTM000127	391	14	49	70	14	14	52	28	10	17	23	26
HOMSTM000128	391	14	18	30	20	33	34	52	21	38	21	24
HOMSTM000129	390	14	6	11	4	8	6	23	4	10	5	5
HOMSTM000130	389	14	27	41	11	42	40	36	22	22	22	18
HOMSTM000131	388	14	16	21	23	33	54	54	24	25	36	28
HOMSTM000132	388	14	25	39	18	35	22	51	24	40	20	25
HOMSTM000133	387	14	22	36	19	41	28	48	22	37	17	21
HOMSTM000134	386	14	23	38	39	26	24	44	17	36	17	21
