gf+AF8-id	rootSizeStar	lambdaStar	ath	bra	cpa	ptr	mtr	gma	cme	pbr	vvi	sly
HOMSTM000001	3	0.1	20	21	8	30	33	6	62	44	27	27
HOMSTM000002	1	0.2	19	20	17	25	6	40	35	37	14	16
HOMSTM000003	2	0.3	14	19	2	21	27	2	19	27	16	14
HOMSTM000004	2	0.4	1	4	11	2	37	2	6	7	2	8
HOMSTM000005	2	0.5	10	16	8	35	25	25	8	29	17	13
HOMSTM000008	1	0.6	11	20	9	17	18	1	38	19	12	12
HOMSTM000009	1	0.7	6	9	7	18	19	25	8	10	12	10
HOMSTM000011	1	0.8	7	11	7	11	15	17	6	9	77	10
HOMSTM000013	1	0.9	8	15	6	13	24	23	75	10	7	9
HOMSTM000014	1	1.0	8	16	6	13	7	13	72	15	6	6
