gf_id	gid
ORTHO006336	AT5G24120
ORTHO002222	AT1G01110
ORTHO002222	AT4G00820
ORTHO008556	AT2G17580
ORTHO004500	AT4G24050
ORTHO001889	AT1G49740
ORTHO001889	AT3G19310
ORTHO001889	AT4G36945
ORTHO002882	AT3G50380
ORTHO007785	AT4G19150
ORTHO000263_1	AT2G30290
ORTHO000263_1	AT3G52850
ORTHO000263_2	AT2G14720
ORTHO000263_2	AT2G14740
ORTHO000263_3	AT1G30900
ORTHO000263_3	AT2G34940
ORTHO000263_3	AT4G20110
ORTHO003691	AT1G24260
ORTHO008583	AT5G07630
ORTHO007595	AT3G07570
ORTHO005577	AT1G27110
ORTHO005577	AT1G27150
ORTHO008861	AT4G25370
ORTHO005208	AT1G19660
ORTHO005208	AT1G75380
ORTHO000923_1	AT1G64190
ORTHO000923_1	AT5G41670
ORTHO000923_2	AT3G02360
ORTHO004878	AT1G01520
ORTHO004878	AT4G01280
ORTHO003928	AT5G14130
ORTHO010583	AT5G11640
ORTHO007471	AT4G02980
ORTHO007180	AT3G14750
ORTHO003458	AT4G27745
ORTHO002741	AT2G44430
ORTHO002741	AT3G57980
ORTHO002741	AT3G60110
ORTHO001642	AT1G53910
ORTHO001642	AT3G14230
ORTHO003417	AT3G50910
ORTHO007245	AT2G17510
ORTHO010738	AT4G38490
ORTHO005597	AT5G48540
ORTHO001172_1	AT1G60900
ORTHO001172_1	AT4G36690
ORTHO007846	AT1G20830
ORTHO002460	AT1G49770
ORTHO010257	AT5G54140
ORTHO001362	AT2G41451
ORTHO001362	AT3G08550
ORTHO001362	AT3G57200
ORTHO002551	AT1G26110
ORTHO008961	AT5G22260
ORTHO001452	AT4G08950
ORTHO000704	AT1G20960
ORTHO000704	AT2G42270
ORTHO000704	AT5G61140
ORTHO011177	AT3G01660
ORTHO000880	AT1G66160
ORTHO000880	AT5G37490
ORTHO000643_2	AT1G27720
ORTHO000643_2	AT5G43130
ORTHO008008	AT1G22510
ORTHO008008	AT1G72175
ORTHO003828	AT3G50650
ORTHO003828	AT5G66770
ORTHO007306	AT2G34690
ORTHO000457	AT1G72540
ORTHO000457	AT2G05940
ORTHO000457	AT2G26290
ORTHO000457	AT5G35580
ORTHO001047	AT3G21630
ORTHO003522	AT2G44860
ORTHO009328	AT1G65030
ORTHO007074	AT5G62270
ORTHO009063	AT5G22580
ORTHO001473	AT2G22750
ORTHO001473	AT4G37850
ORTHO006523	AT5G19860
ORTHO008272	AT2G26700
ORTHO002081	AT5G10270
ORTHO002081	AT5G64960
ORTHO004776	AT2G01190
ORTHO005697	AT5G27450
ORTHO010477	AT4G36440
ORTHO007744	AT5G26940
ORTHO002892	AT2G23060
ORTHO002892	AT4G37580
ORTHO009535	AT1G75340
ORTHO009472	AT2G26200
ORTHO002026	AT1G07070
ORTHO002026	AT1G74270
ORTHO002026	AT3G55750
ORTHO000397	AT4G16745
ORTHO000397	AT4G32790
ORTHO000397	AT5G11610
ORTHO000397	AT5G19670
