gf-id	num-gen	num-spe	ath	bra	cpa	ptr	mtr	gma	cme	pbr	vvi	sly
ORTHOSTM000004	303	14	15	18	9	24	31	33	7	34	29	24
ORTHOSTM000007	233	14	5	20	1	16	29	7	4	33	2	7
ORTHOSTM000008	225	14	6	14	10	20	31	39	17	22	10	16
ORTHOSTM000011	212	14	12	9	7	22	19	27	13	12	15	16
ORTHOSTM000014	203	14	9	14	5	14	54	22	4	22	3	12
ORTHOSTM000016	199	14	15	23	15	15	13	24	23	13	8	9
ORTHOSTM000018	196	14	13	17	11	23	16	27	11	18	2	14
ORTHOSTM000019	184	14	11	15	10	21	15	26	8	24	4	8
ORTHOSTM000020	175	14	2	2	4	42	32	30	3	37	6	7
ORTHOSTM000021	167	14	9	12	5	16	28	24	7	9	16	11
ORTHOSTM000023	160	14	6	11	7	24	12	24	9	21	15	11
ORTHOSTM000025	150	14	14	8	6	20	15	11	4	17	22	6
ORTHOSTM000027	140	14	8	14	8	8	12	16	10	11	5	12
ORTHOSTM000028	138	14	9	13	9	12	12	13	9	14	11	7
ORTHOSTM000030	134	14	9	25	3	4	20	20	5	13	13	8
ORTHOSTM000032	131	14	8	9	6	11	14	16	6	14	1	1
ORTHOSTM000033	130	14	9	15	4	20	10	18	6	6	1	10
ORTHOSTM000035	125	14	8	12	3	12	17	21	4	9	5	8
ORTHOSTM000037	123	14	8	11	8	9	11	8	7	10	9	8
ORTHOSTM000038	122	14	8	11	6	12	10	14	7	8	4	6
ORTHOSTM000040	116	14	6	12	8	3	8	20	11	13	4	1
ORTHOSTM000042	114	14	7	13	5	10	9	18	5	9	5	10
ORTHOSTM000044	112	14	8	10	6	6	11	14	6	11	9	10
ORTHOSTM000049	107	14	8	12	3	8	8	14	7	8	3	8
ORTHOSTM000051	103	14	5	8	5	10	14	12	5	8	6	6
ORTHOSTM000057	97	14	4	6	3	5	6	8	12	3	11	8
ORTHOSTM000058	97	14	7	9	3	8	6	15	7	12	5	5
ORTHOSTM000060	97	14	8	12	6	5	9	13	5	10	6	4
ORTHOSTM000061	97	14	6	14	3	5	8	13	4	9	3	11
ORTHOSTM000065	88	14	7	11	5	9	8	11	5	5	4	12
ORTHOSTM000067	87	14	5	8	4	7	8	14	3	9	5	6
ORTHOSTM000069	86	14	6	4	3	11	5	10	5	8	3	5
ORTHOSTM000070	85	14	5	7	4	5	5	13	5	12	5	5
ORTHOSTM000071	85	14	8	11	3	12	4	7	3	9	2	7
ORTHOSTM000072	84	14	4	8	4	8	5	14	6	10	4	5
ORTHOSTM000073	84	14	8	15	2	7	5	12	6	4	4	3
ORTHOSTM000074	84	14	5	9	3	3	14	7	6	4	3	7
ORTHOSTM000079	80	14	1	5	2	6	18	13	1	6	12	2
ORTHOSTM000080	79	14	3	5	2	8	7	10	5	7	6	5
ORTHOSTM000082	78	14	5	6	4	5	7	12	6	6	7	5
ORTHOSTM000083	78	14	7	9	2	6	5	10	4	5	3	4
ORTHOSTM000091	75	14	4	10	4	3	7	8	3	4	7	6
ORTHOSTM000092	75	14	4	8	3	7	3	11	4	9	3	7
ORTHOSTM000095	74	14	3	8	5	7	6	12	6	2	3	4
ORTHOSTM000096	74	14	7	10	1	6	6	13	4	6	3	2
ORTHOSTM000097	74	14	5	9	1	5	8	11	1	6	1	6
ORTHOSTM000098	74	14	5	6	4	9	5	9	5	5	5	6
ORTHOSTM000099	74	14	2	2	3	13	19	10	7	2	4	1
ORTHOSTM000105	71	14	4	7	2	5	8	12	4	5	4	6
ORTHOSTM000108	70	14	5	10	3	5	4	8	5	4	3	3
ORTHOSTM000111	69	14	4	9	2	5	4	12	3	5	3	4
ORTHOSTM000113	68	14	5	7	2	3	3	8	4	9	2	6
