tree_id	gf_id	newick_tree	rearrange	root_node	root_support
TREEORTHO006336	ORTHO006336	(((((((((((((((Atha|AT5G24120,Alyr|AL6G24010)n15,Crub|Carubv10000608m)n14,(Brap|Bra026466,Brap|Bra009735)n16)n13,Tpar|Tp2g23190)n12,Cpap|CP00003G00550)n11,((Mesc|ME06089G00260,Mesc|ME00341G00240)n18,Rcom|RC30169G03030)n17)n10,(((Cmel|CM3C026931,Csat|Csa3M354500)n21,Clan|Cla004234)n20,(Tcac|TC03G017540,Grai|Cotton_D_gene_10030818)n22)n19)n9,((((Gmax|GM04G41690,Gmax|GM06G13100)n26,Ccaj|C.cajan_13632)n25,(Mtru|MT3G090900,Cari|Ca_03953)n27)n24,((Gmax|GM14G31370,Gmax|GM13G08390)n29,Ccaj|C.cajan_04595)n28)n23)n8,((((((Zmay|ZM06G32630,Sbic|SB09G030110)n35,Sita|Si021904m)n34,((Hvul|MLOC_61094.1,Bdis|BD2G14790)n37,Osat|OS05G50930)n36)n33,Pdac|PDK_30s880291L003)n32,Macu|GSMUA_Achr7T24590_001)n31,((Stub|Sotub03g013640.1.1,Slyc|Solyc03g007370.2.1)n39,Lusi|Lus10038823)n38)n30)n7,(Ptri|PT15G02130,Ptri|PT12G01240)n40)n6,Vvin|VV16G06830)n5,(Pper|ppa004259m,Pmum|Pm019782)n41)n4,((Pbre|Pbr031547.1,Pbre|Pbr010798.1)n43,Pbre|Pbr013622.1)n42)n3,Fves|FV7G36900)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00015.106)n1;	FALSE	Angiosperms	0.945945945945946
TREEORTHO002222	ORTHO002222	((((((((((((Csat|Csa6M107880,Cmel|CM3C022253)n12,Clan|Cla006696)n11,(Lusi|Lus10012608,Lusi|Lus10010104)n13)n10,(((Pmum|Pm018293,Pper|ppa004080m)n16,Pbre|Pbr007810.1)n15,Fves|FV7G04520)n14)n9,(((((Gmax|GM07G05680,Gmax|GM16G02240)n21,Ccaj|C.cajan_42576)n20,Ljap|LJ0G093490)n19,Ljap|LJ0G116240)n18,Cari|Ca_22429)n17)n8,((Csat|Csa3M116810,Cmel|CM3C005949)n23,Clan|Cla021081)n22)n7,((Stub|Sotub10g006650.1.1,Slyc|Solyc10g005000.2.1)n25,Jcur|Jcr4S01003.120)n24)n6,(((((Atha|AT1G01110,Alyr|AL1G01260)n30,Crub|Carubv10008796m)n29,(Brap|Bra033284,Tpar|Tp1g01160)n31)n28,(((Atha|AT4G00820,Alyr|AL6G40810)n34,Crub|Carubv10000672m)n33,(Tpar|Tp6g01300,Brap|Bra000930)n35)n32)n27,Mesc|ME03581G00230)n26)n5,((((((Grai|Cotton_D_gene_10033278,Grai|Cotton_D_gene_10015936)n41,Grai|Cotton_D_gene_10035731)n40,Tcac|TC01G033790)n39,(Ptri|PT14G09850,Ptri|PT02G17740)n42)n38,Cpap|CP00141G00120)n37,Vvin|VV15G07350)n36)n4,((((((Tcac|TC03G022740,Grai|Cotton_D_gene_10016799)n48,Cpap|CP00037G00860)n47,(Stub|Sotub08g027100.1.1,Slyc|Solyc08g083240.2.1)n49)n46,(((Ptri|PT11G14890,Ptri|PT01G44270)n52,Rcom|RC30068G00780)n51,Jcur|Jcr4S01122.90)n50)n45,((((Pper|ppa021141m,Pmum|Pm024258)n56,Pbre|Pbr038582.1)n55,Fves|FV0G41770)n54,(Lusi|Lus10033237,Lusi|Lus10008269)n57)n53)n44,Vvin|VV02G05750)n43)n3,((((((Zmay|ZM04G08630,Sbic|SB07G001510)n63,Sita|Si013491m)n62,(Bdis|BD3G13710,Hvul|MLOC_16398.2)n64)n61,Osat|OS08G02250)n60,((Macu|GSMUA_AchrUn_randomT19940_001,Macu|GSMUA_Achr1T16160_001)n66,Macu|GSMUA_Achr1T18950_001)n65)n59,(Pdac|PDK_30s1007621L002,Pdac|PDK_30s1072311L001)n67)n58)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00018.157)n1;	FALSE	Angiosperms	0.972972972972973
TREEORTHO008556	ORTHO008556	(((((((((((Mtru|MT5G023810,Cari|Ca_10738)n11,(Gmax|GM11G08980,Ccaj|C.cajan_12479)n12)n10,Ljap|LJ2G021800)n9,(Vvin|VV04G00230,Cpap|CP01414G00030)n13)n8,((((Pbre|Pbr037945.1,Pbre|Pbr007841.1)n17,Pbre|Pbr027714.1)n16,(Pper|ppa015787m,Pmum|Pm026822)n18)n15,Fves|FV1G12320)n14)n7,(((Stub|Sotub03g008860.1.1,Slyc|Solyc03g032180.2.1)n21,(Stub|Sotub02g026160.1.1,Slyc|Solyc02g082810.2.1)n22)n20,(Clan|Cla008938,Csat|Csa3M002350)n23)n19)n6,(((Ptri|PT05G10120,Lusi|Lus10016699)n26,Rcom|RC29830G00510)n25,Mesc|ME07520G03320)n24)n5,(Tcac|TC01G000590,Grai|Cotton_D_gene_10030372)n27)n4,((((Tpar|Tp3g30930,Brap|Bra024506)n31,Crub|Carubv10016083m)n30,Alyr|AL3G38370)n29,Atha|AT2G17580)n28)n3,((((((Hvul|MLOC_51415.4,Bdis|BD1G76307)n37,Hvul|MLOC_16248.1)n36,Osat|OS03G03930)n35,((Zmay|ZM01G02410,Sbic|SB01G048240)n39,Sita|Si035944m)n38)n34,Pdac|PDK_30s820661L007)n33,Macu|GSMUA_Achr8T13330_001)n32)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00001.12)n1;	FALSE	Angiosperms	0.945945945945946
TREEORTHO004500	ORTHO004500	((((((((((Mesc|ME04274G00240,Jcur|Jcr4S00151.10)n10,Mesc|ME00872G00010)n9,Rcom|RC30068G00320)n8,((Gmax|GM08G02980,Ccaj|C.cajan_34195)n12,Cari|Ca_05860)n11)n7,((Ptri|PT03G13460,Ptri|PT01G10880)n14,(Lusi|Lus10017308,Lusi|Lus10003204)n15)n13)n6,((((Pbre|Pbr037159.1,Pbre|Pbr036813.1)n19,Pbre|Pbr035107.1)n18,(Pper|ppa008299m,Pmum|Pm024187)n20)n17,Fves|FV5G35400)n16)n5,((((((((Brap|Bra019248,Brap|Bra013757)n28,Tpar|Tp7g22020)n27,Crub|Carubv10005216m)n26,Alyr|AL7G18110)n25,Atha|AT4G24050)n24,(Cpap|CP00015G00160,Grai|Cotton_D_gene_10017744)n29)n23,(Grai|Cotton_D_gene_10037513,Tcac|TC03G029600)n30)n22,((Stub|Sotub08g027400.1.1,Slyc|Solyc08g082870.2.1)n32,Vvin|VV02G05280)n31)n21)n4,(((Csat|Csa5M149870,Cmel|CM3C005752)n35,Clan|Cla011368)n34,Cmel|CM3C013783)n33)n3,(((((((((Zmay|ZM01G00980,Sbic|SB01G049550)n44,Sita|Si036382m)n43,Osat|OS03G02460)n42,Hvul|MLOC_79748.3)n41,Bdis|BD1G72410)n40,((((Zmay|ZM09G05920,Sbic|SB10G001800)n48,Sita|Si006772m)n47,Osat|OS06G03830)n46,Bdis|BD1G49720)n45)n39,(Macu|GSMUA_Achr8T11870_001,Macu|GSMUA_Achr11T21750_001)n49)n38,Pdac|PDK_30s977881L002)n37,Pdac|PDK_30s1185931L009)n36)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00069.52)n1;	FALSE	Angiosperms	0.945945945945946
TREEORTHO001889	ORTHO001889	(((((((((((Pper|ppa006614m,Pmum|Pm021288)n11,Pbre|Pbr040397.1)n10,Fves|FV3G32760)n9,((Csat|Csa3M205280,Cmel|CM3C019518)n13,Clan|Cla013075)n12)n8,((Mtru|MT4G085750,Ljap|LJ4G008540)n15,(Gmax|GM02G11450,Ccaj|C.cajan_31089)n16)n14)n7,((Grai|Cotton_D_gene_10038289,Grai|Cotton_D_gene_10029435)n18,Ptri|PT09G10130)n17)n6,((((Alyr|AL1G44080,Crub|Carubv10009541m)n22,Atha|AT1G49740)n21,((Brap|Bra018798,Brap|Bra014209)n24,Tpar|Tp1g36630)n23)n20,(((Atha|AT3G19310,Alyr|AL3G20860)n27,Crub|Carubv10013826m)n26,(Tpar|Tp3g17390,Brap|Bra022411)n28)n25)n19)n5,((Stub|Sotub01g045150.1.1,Slyc|Solyc01g107990.2.1)n30,Vvin|VV03G06500)n29)n4,(Lusi|Lus10019843,Lusi|Lus10014072)n31)n3,((((((((((Mesc|ME12370G00010,Lusi|Lus10019339)n41,Mesc|ME03060G00360)n40,Jcur|Jcr4S07990.50)n39,(Ptri|PT05G17300,Ptri|PT07G10320)n42)n38,(Stub|Sotub02g031800.1.1,Slyc|Solyc02g093310.2.1)n43)n37,(Tcac|TC01G005230,Vvin|VV07G05400)n44)n36,(((Atha|AT4G36945,Alyr|AL7G03540)n47,Crub|Carubv10007202m)n46,(Tpar|Tp7g34820,Brap|Bra017803)n48)n45)n35,(((((Pbre|Pbr040191.1,Pbre|Pbr035442.1)n53,(Pbre|Pbr035708.1,Pbre|Pbr025159.1)n54)n52,(Pper|ppa006381m,Pmum|Pm026385)n55)n51,Fves|FV1G18130)n50,(((Gmax|GM11G05840,Gmax|GM01G39410)n58,Ccaj|C.cajan_12753)n57,(Cari|Ca_02158,Mtru|MT5G017090)n59)n56)n49)n34,Gmax|GM17G19750)n33,Csat|Csa6M490980)n32)n2,(((((((Zmay|ZM02G15130,Sbic|SB06G016810)n66,Sita|Si012705m)n65,Osat|OS04G35100)n64,Hvul|MLOC_60221.2)n63,Bdis|BD5G10177)n62,(((Macu|GSMUA_Achr6T25660_001,Macu|GSMUA_Achr6T25650_001)n69,Macu|GSMUA_Achr8T30320_001)n68,Pdac|PDK_30s1037321L006)n67)n61,((Sita|Si013865m,Osat|OS08G01310)n71,(Macu|GSMUA_Achr9T29530_001,Macu|GSMUA_Achr6T19650_001)n72)n70)n60)n1;	FALSE	Angiosperms_sub	0.944444444444444
TREEORTHO002882	ORTHO002882	((((((((((((((Jcur|Jcr4S26561.10,Jcur|Jcr4S01637.60)n14,Mesc|ME03235G00050)n13,Rcom|RC29676G00730)n12,Jcur|Jcr4S06575.40)n11,Mesc|ME03235G00030)n10,((((Mesc|ME03235G00070,Jcur|Jcr4S15965.10)n18,Rcom|RC29676G00720)n17,Mesc|ME03235G00060)n16,Ptri|PT07G11370)n15)n9,Lusi|Lus10022476)n8,(((((Atha|AT3G50380,Alyr|AL5G19880)n23,Crub|Carubv10019496m)n22,(Tpar|Tp5g11790,Brap|Bra030007)n24)n21,((Cpap|CP00015G00630,Cpap|CP00015G00620)n26,Cpap|CP00015G00610)n25)n20,(Grai|Cotton_D_gene_10037012,Tcac|TC01G004080)n27)n19)n7,((((((((Csat|Csa6M489880,Cmel|CM3C007515)n35,Cmel|CM3C007514)n34,Cmel|CM3C007513)n33,Clan|Cla001798)n32,(Clan|Cla001796,Clan|Cla001799)n36)n31,((Csat|Csa6M489890,Cmel|CM3C007516)n38,Clan|Cla001800)n37)n30,(((Gmax|GM16G25960,Ccaj|C.cajan_11272)n41,Cari|Ca_09225)n40,((Gmax|GM16G25920,Ccaj|C.cajan_11277)n43,Ccaj|C.cajan_40174)n42)n39)n29,((((Pper|ppa016794m,Pmum|Pm026521)n47,Pper|ppa000331m)n46,Pbre|Pbr025039.1)n45,Fves|FV5G37360)n44)n28)n6,Vvin|VV07G03290)n5,(Stub|Sotub02g032870.1.1,Slyc|Solyc02g090130.2.1)n48)n4,(Slyc|Solyc02g090140.1.1,Stub|Sotub02g032860.1.1)n49)n3,((((((((Zmay|ZM01G28390,Zmay|ZM01G28380)n57,Sbic|SB08G020025)n56,Zmay|ZM01G28410)n55,Sita|Si020940m)n54,(((Bdis|BD4G02910,Hvul|MLOC_36971.7)n60,Hvul|MLOC_36925.1)n59,Osat|OS12G40279)n58)n53,Pdac|PDK_30s740071L004)n52,Pdac|PDK_30s740071L001)n51,Pdac|PDK_30s740071L003)n50)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00059.216)n1;	FALSE	Angiosperms	0.918918918918919
TREEORTHO007785	ORTHO007785	(((((((((((Alyr|AL7G23390,Atha|AT4G19150)n11,Crub|Carubv10005540m)n10,(Brap|Bra013376,Tpar|Tp7g17850)n12)n9,Cpap|CP00137G00160)n8,(Tcac|TC01G012590,Grai|Cotton_D_gene_10019788)n13)n7,(((((Jcur|Jcr4S04885.10,Jcur|Jcr4S10230.20)n18,Mesc|ME01493G00120)n17,Rcom|RC29827G00670)n16,(Ptri|PT01G01080,Ptri|PT03G09290)n19)n15,(Lusi|Lus10001048,Lusi|Lus10001414)n20)n14)n6,(((((Cari|Ca_10620,Mtru|MT5G026800)n25,Ljap|LJ2G020670)n24,((Gmax|GM01G35300,Gmax|GM09G34730)n27,Ccaj|C.cajan_12413)n26)n23,((Csat|Csa3M823650,Cmel|CM3C009827)n29,Clan|Cla016962)n28)n22,(((Pper|ppa010532m,Pmum|Pm023056)n32,Pbre|Pbr006819.2)n31,Fves|FV0G28490)n30)n21)n5,Vvin|VV02G08940)n4,(Stub|Sotub08g008420.1.1,Slyc|Solyc08g005520.2.1)n33)n3,((((Hvul|AK365284,Bdis|BD3G21630)n37,Osat|OS10G43040)n36,((Sbic|SB01G027590,Zmay|ZM01G23160)n39,Sita|Si037031m)n38)n35,(Pdac|PDK_30s1207151L002,Macu|GSMUA_Achr11T06350_001)n40)n34)n2,Atri|evm_27.model.AmTr_v1.0_scaffold00048.164)n1;	TRUE	Angiosperms	1
TREEORTHO000263_1	ORTHO000263	(((((((((((((((Brap|Bra028535,Brap|Bra006952)n128,Tpar|Tp5g09490)n127,Crub|Carubv10016844m)n126,Atha|AT3G52850)n125,Alyr|AL5G22770)n124,(Tpar|Tp4g20890,Brap|Bra005096)n129)n123,Cpap|CP00086G00590)n122,((((Alyr|AL4G14900,Atha|AT2G30290)n133,Crub|Carubv10025264m)n132,(Brap|Bra028917,Brap|Bra039898)n134)n131,Tpar|Tp6g41140)n130)n121,((Stub|Sotub10g018430.1.1,Slyc|Solyc10g074980.1.1)n136,(Stub|Sotub09g014340.1.1,Slyc|Solyc09g015670.2.1)n137)n135)n120,(((((Gmax|GM03G00510,Ccaj|C.cajan_20314)n142,(Mtru|MT8G005800,Cari|Ca_18934)n143)n141,Ljap|LJ3G004320)n140,(((Gmax|GM18G44580,Gmax|GM09G41070)n146,Ccaj|C.cajan_32595)n145,(Mtru|MT7G073350,Cari|Ca_09493)n147)n144)n139,((Cmel|CM3C009099,Csat|Csa3M728010)n149,Clan|Cla018056)n148)n138)n119,(((((((Pper|ppa002877m,Pmum|Pm003020)n156,Pbre|Pbr014646.1)n155,Fves|FV6G08600)n154,(Ptri|PT16G13670,Ptri|PT06G10740)n157)n153,((Lusi|Lus10025220,Lusi|Lus10025136)n159,(Lusi|Lus10022737,Lusi|Lus10014176)n160)n158)n152,(((Rcom|RC29915G00120,Jcur|Jcr4S03534.40)n163,Mesc|ME09360G00290)n162,Mesc|ME03614G00100)n161)n151,(((Grai|Cotton_D_gene_10034184,Tcac|TC04G016190)n166,Grai|Cotton_D_gene_10036305)n165,Grai|Cotton_D_gene_10035549)n164)n150)n118,(Vvin|VV08G05780,Atri|evm_27.model.AmTr_v1.0_scaffold00077.78)n167)n117,(((Macu|GSMUA_Achr11T19850_001,Macu|GSMUA_AchrUn_randomT24340_001)n170,Macu|GSMUA_Achr7T22040_001)n169,(Pdac|PDK_30s879361L003,Pdac|PDK_30s712481L002)n171)n168)n116,(((((Sbic|SB05G001160,Zmay|ZM02G25680)n176,Zmay|ZM04G28550)n175,(Sita|Si026114m,Sita|Si009612m)n177)n174,((Hvul|MLOC_12555.1,Bdis|BD4G44380)n179,(Osat|OS11G02464,Osat|OS12G02390)n180)n178)n173,(Hvul|MLOC_76600.2,Hvul|AK369100)n181)n172)n115,((((((Zmay|ZM09G21540,Sbic|SB01G036170)n187,Zmay|ZM01G14660)n186,Sita|Si034683m)n185,Osat|OS03G21720)n184,((Hvul|AK250812.1,Hvul|AK248808.1)n189,Bdis|BD1G63210)n188)n183,(((Sbic|SB02G043010,Zmay|ZM07G30150)n192,Sita|Si029249m)n191,((Hvul|AK374393,Bdis|BD1G17670)n194,Osat|OS07G48229)n193)n190)n182)n114;	FALSE	Angiosperms	1
TREEORTHO000263_2	ORTHO000263	((((((((((((Gmax|GM10G40340,Gmax|GM20G27000)n14,Ccaj|C.cajan_07781)n13,Cari|Ca_05645)n12,(Mtru|MT1G106940,Ljap|LJ5G028070)n15)n11,(((Gmax|GM11G00370,Gmax|GM01G45380)n18,Ccaj|C.cajan_29733)n17,(Mtru|MT5G005100,Cari|Ca_11908)n19)n16)n10,((((Csat|Csa4M000880,Cmel|CM3C017997)n23,Clan|Cla006421)n22,((Csat|Csa7M071400,Cmel|CM3C018517)n25,Clan|Cla016092)n24)n21,(((Pbre|Pbr018798.3,Pbre|Pbr003535.2)n28,(Pper|ppa002822m,Pmum|Pm021171)n29)n27,Fves|FV2G05420)n26)n20)n9,(((((((Alyr|AL3G34360,Crub|Carubv10013097m)n36,Atha|AT2G14740)n35,(Brap|Bra013121,Brap|Bra039817)n37)n34,(((Alyr|AL3G34350,Crub|Carubv10016452m)n40,Atha|AT2G14720)n39,Tpar|Tp3g27810)n38)n33,Cpap|CP00106G00540)n32,(Ptri|PT09G09010,Ptri|PT01G29400)n41)n31,(((Grai|Cotton_D_gene_10018103,Grai|Cotton_D_gene_10016412)n44,Grai|Cotton_D_gene_10029491)n43,Tcac|TC02G010170)n42)n30)n8,((Lusi|Lus10012366,Lusi|Lus10002130)n46,Lusi|Lus10020967)n45)n7,(((Rcom|RC28152G00440,Jcur|Jcr4S05700.20)n49,Mesc|ME01500G00010)n48,Mesc|ME04080G00060)n47)n6,Vvin|VV03G09930)n5,(Stub|Sotub01g044320.1.1,Slyc|Solyc01g107130.2.1)n50)n4,((((((Bdis|BD3G24680,Hvul|AK354596)n56,Osat|OS10G20630)n55,(Sita|Si034675m,Zmay|ZM05G12070)n57)n54,(Macu|GSMUA_Achr6T16900_001,Macu|GSMUA_Achr10T11350_001)n58)n53,(Pdac|PDK_30s827401L002,Pdac|PDK_30s696571L001)n59)n52,Atri|evm_27.model.AmTr_v1.0_scaffold00164.25)n51)n3;	FALSE	Angiosperms	0.972972972972973
TREEORTHO000263_3	ORTHO000263	(((((((((((((Pbre|Pbr031577.1,Pbre|Pbr010206.1)n72,Pbre|Pbr002497.1)n71,(Pper|ppa002849m,Pmum|Pm010842)n73)n70,Fves|FV3G11690)n69,((((Atha|AT4G20110,Alyr|AL7G22270)n77,Crub|Carubv10004337m)n76,Tpar|Tp7g18550)n75,Brap|Bra013445)n74)n68,((Gmax|GM15G16810,Gmax|GM09G05490)n79,(Ccaj|C.cajan_15210,Cari|Ca_17385)n80)n78)n67,((((Ptri|PT03G14450,Ptri|PT01G12030)n84,Lusi|Lus10006944)n83,(Mesc|ME09018G00090,Jcur|Jcr4S09680.10)n85)n82,((Csat|Csa6M538660,Cmel|CM3C007003)n87,Clan|Cla009900)n86)n81)n66,(Stub|Sotub02g025270.1.1,Slyc|Solyc02g081970.2.1)n88)n65,(Grai|Cotton_D_gene_10011613,Tcac|TC02G000220)n89)n64,Vvin|VV01G09950)n63,((((Atha|AT2G34940,Crub|Carubv10024993m)n93,Alyr|AL4G20260)n92,(Brap|Bra021940,Tpar|Tp4g17240)n94)n91,(((Crub|Carubv10008569m,Atha|AT1G30900)n97,Alyr|AL1G32270)n96,(Tpar|Tp1g26800,Brap|Bra023151)n98)n95)n90)n62,((((((Zmay|ZM09G16850,Sbic|SB10G026544)n104,Sita|Si006053m)n103,(Hvul|MLOC_53134.1,Bdis|BD1G31820)n105)n102,Osat|OS06G45380)n101,((((Hvul|AK357750,Bdis|BD5G21370)n109,Osat|OS04G52190)n108,Sita|Si009591m)n107,Sbic|SB06G028180)n106)n100,(((Pdac|PDK_30s725001L002,Pdac|PDK_30s1083491L004)n112,Macu|GSMUA_Achr3T23680_001)n111,(Macu|GSMUA_AchrUn_randomT22180_001,Macu|GSMUA_Achr7T03630_001)n113)n110)n99)n61,Atri|evm_27.model.AmTr_v1.0_scaffold00032.170)n60;	FALSE	Angiosperms	0.891891891891892
